97,BE,Steffisburg,877000,668000,616000,500000,15.21,
98,TI,Bellinzona,875000,667000,608000,493000,11.83,
99,AG,Zofingen,867000,660000,599000,486000,12.26,
100,AG,Wohlen,862000,656000,605000,490000,12.79,
101,BE,Lyss,857000,652000,600000,487000,15.09,
102,SO,Solothurn,853000,649000,588000,476000,14.79,
103,SH,Schaffhausen,852000,649000,598000,484000,13.32,
104,TG,Kreuzlingen,846000,644000,592000,480000,12.30,
105,FR,Freiburg,843000,643000,589000,478000,14.54,
106,BE,Burgdorf,840000,639000,590000,478000,14.87,
107,TG,Arbon,833000,635000,587000,476000,13.91,
108,TG,Frauenfeld,831000,634000,584000,471000,12.35,
109,NE,Neuenburg,824000,627000,572000,464000,16.96,
110,SO,Olten,808000,615000,566000,459000,13.47,
111,AG,Oftringen,803000,612000,564000,457000,12.79,
112,SG,Gossau,798000,608000,561000,454000,12.98,
113,BE,Langenthal,790000,602000,557000,451000,14.25
114,SH,Neuhausen am Rheinfall,787000,599000,555000,450000,13.14
115,AR,Herisau,781000,595000,546000,443000,13.07
116,FR,Bulle,766000,583000,547000,443000,14.19
117,SG,Buchs,759000,578000,540000,438000,13.61
118,SG,Uzwil,753000,574000,532000,431000,14.33
119,TG,Amriswil,737000,561000,525000,426000,13.82,
120,VS,Sitten,729000,555000,515000,418000,13.75,
121,VS,Brig-Glis,725000,552000,518000,420000,13.27,
122,SO,Grenchen,716000,546000,513000,416000,14.72,
123,SG,Altstätten,694000,528000,496000,402000,14.80,
124,VS,Monthey,678000,517000,488000,395000,14.06,
125,NE,La Chaux-de-Fonds,661000,503000,481000,389000,17.66,
126,VS,Martigny,645000,491000,465000,377000,13.27,
127,VS,Siders,616000,469000,444000,360000,14.14,
128,JU,Delsberg,602000,458000,440000,357000,16.69,
129,NE,Le Locle,480000,366000,356000,288000,17.66,
